Puzzle,Solution,
.2.3.4.8538.25......5.1.......94.3..1.7..2..82....3...9..18.......4.7.2..7.......,721394685389256417465718293658941372137562948294873561942185736516437829873629154,
6.5.4.9.2.1..354....2..68........61......1...3............84..6.9....5..8..5.9.4.,675148932918235467432976851289357614746891325351462789523784196194623578867519243,
8....5....97....2.....6.8.34...3....32.....5...6........84..7....5.8..96.7.39...8,863725941197843625542961873481539267329678154756214389918456732235187496674392518,
..5.1....3....45.684.......4.......9.2..6.4...6.....125..1..6........8.4986..5..1,675213948391874526842596173458321769123967485769458312534182697217639854986745231,
...1....37..3.........4..6...5..16..2..7.45..68.2.5.4...8...2.1..3..7.....28.....,856172493724396815139548762345981627291764538687235149968453271513627984472819356,
.4..7.259.........6.15....4....2.9.1.861.4...7........8.94......7...9.8.......7..,348671259597842613621593874453728961986134527712965348869457132275319486134286795,
...........72..8.41.87..2.5..2..198.....4..3.83.9.........5...728.....4....1.....,625489173397215864148763295472531986519648732836927451964852317281376549753194628,
......612.....68........3.76......48.......7..143.8...9.862.7...3.89...1..2..3..9,389745612271936854456182397693217548825469173714358926948621735537894261162573489,
............5.347...6..8.....2...9....5.8..2...72..5435.....29.2.8..5..7.9..6....,453679182829513476176428359312754968945386721687291543561837294238945617794162835,
..6.9....2.4..3...75.28.......7......6..38..9....64.3...3.....7.8..5...65......2.,836495172214673598759281364345729681167538249928164735693812457482357916571946823,
3.7.9..6..96..1.3........8......8..7....2381.9.2.......2.5.........1..96...3.2.7.,317895462896241735254736189143658927675923814982174653721569348538417296469382571,
.....8....42.......1..6.283.6....5..4.1.95..6.....49.1.......5.....3...252.8.6.3.,396278415842153769715469283967312548481795326253684971138927654674531892529846137,
..63....8.2......78.4..7.3.....1..............8.6..5.23....5..1..7.8...45..24...3,756321498923458167814967235675812349432579816189634572348795621267183954591246783,
.1.9.5..7..5.37.......1....96.17..5.....5..4..7.3.691.......43......8..5.8....1..,216945387845637291793812564962174853138259746574386912659721438321498675487563129,
9.6....35.......64.45...8.26..........4.2..78897.......83.........379...4...86...,976248135238195764145763892621837549354921678897654213783412956562379481419586327,
.96.....22........85...3.6.6...79.3....5.......4.6..5....9.2.85...78.6..7.....2..,496857312231496578857123469615279834378514926924368157163942785542781693789635241,
.2..3.....796....4..58..97.3...5.4.......7....9.4.6.5.5.3........7....6.96....8.5,421739586879625134635841972316258497254397618798416253583964721147582369962173845,
..371..94...4.2....6.....7.3..9......46.2.8.3..7.8...6......6.7.8.6..21..7.......,823716594795432168164598372358964721946127853217385946531249687489673215672851439,
2......7..743..8.5......3...5.68....3.....251.....1....2....5....8...76.761..2.8.,239845176674319825815276394152683947386497251947521638423768519598134762761952483,
.16.7.5.....9..6...72..5..8.678...1.....2..........7....8...14..4.1...691.......5,916478523854932671372615498567894312481327956293561784638259147745183269129746835,
3.9...8..612.....38..........7.1.......5..2.....79368......8..2..5.2..91...3...5.,359241876612987543874635129567812934938564217241793685493158762785426391126379458,
..5.......3...8.794.....83.8...2...1.....59........7423..2.4..524..8........37...,985376214632148579417952836894723651721465983563819742378294165246581397159637428,
1.89.32...7.....81.6.8..........139...5...1.66......7..5..879....6.9....2........,148973265973256481562814739427561398835749126691328574354687912716492853289135647,
..87..46........21......8...6.......7...2...4..5....1...79..6..42..7...99.1.64.82,298731465574689321613245897162453978789126534345897216857912643426378159931564782,
3.....1...7.19..4...5.6..9...4.1.5........83.8........16..45.......76.5....8....6,396584172278193645415762398724318569651429837839657214162945783983276451547831926,
.4..8..5....9....43.....8.2.7.....2.8..........28..79.6.75.9......7..5...9...46..,741382956268975314359641872976453128815297463432816795687539241124768539593124687,
2....7.....39.57.2.8.....5.7...8...9.253...4...1.......98..2.....2.....51....9..4,259817463413965782687423951734286519825391647961754238598142376342678195176539824,
9.1...6.........28.74...1...1.........9.23...7.3.....9..21....4..6..2891.....93..,921385647635471928874296153218957436469823715753614289392168574546732891187549362,
2.4.6....8...9.........8.1...2.....86495....2...7.......5.7...6..68..2.4...62.17.,234167859851394627967258413712936548649581732583742961125479386376815294498623175,
....72..4...5......2.63........9...7.67.45.82.9..2...5..2..7.5.....5.2.6.8.....9.,953172864476589123821634579245896317167345982398721645632917458719458236584263791,
6.........3..9.8..45.1.....3..2......21..538....4......65.2.1..8...5.23..1....95.,689372415137594862452186793346218579921765384578439621765923148894651237213847956,
.......68...38.7...3.6.5...1....9.....4...185.6.....797.3...5....6....4.549....37,257914368691382754438675291185749623974263185362851479723498516816537942549126837,
......2.48..4.2......7..61.....2........6.59...9..8....42.1..7.67...4..59....68.2,793651284816432759425789613587923461234167598169548327342815976678294135951376842,
.....687.45...71..1..3.............638.1..5....9654...........99.5.......4..8..5.,293516874458297163167348925514832796386179542729654381832765419975421638641983257,
3...7.6....2...9.3.5...6874.2..9...858..4..676....8...8...3..................24..,348579621762814953951326874423697518589143267617258349876435192234961785195782436,
...3.9.2..1.....7.....7.......9...8...1...6.7.3.2.4...6.4.....1....46..828..3....,876359124319428576542671893465917382921583647738264915654892731193746258287135469,
.....2..6.5..6..1...4.8...3......1....3.1.8......3..25....2....68........2.7..45.,937142586852369714164587293546278139293615847718934625475823961689451372321796458,
.4..8.......56....2...91..892..5....4.5...1..6..8..3..........2....1.4.9...4.68.3,341782956879564231256391748923157684485623197617849325164938572738215469592476813,
.......59...6..7..3.1..5..2.9...6.3.....5..7.8.2..1..51.........5..29...2...78.1.,628417359945632781371895462597286134416953278832741695189364527753129846264578913,
....1.643.73.......4.8...1.3..4...............16.7.8...9...7.2...76...8.4..13....,289715643173264598645893217328451769754986132916372854891547326537629481462138975,
1........5.6........2....67.2..91...9.4.5...1......8..4.9.17........61..8.75.46..,148765932576239418392148567725891346984653721631472859469317285253986174817524693,
.647.8...9.5..4....8....4..........3...36.95..96..5.71.79...5.4......71...8....3.,264718395935624187781593426512987643847361952396245871179832564623459718458176239,
...75.........627......2..4.6.4.8.2.47.1....321...3.8....2..35...7.6..1....5.7...,624759138851346279793812564365498721478125693219673485946281357537964812182537946,
..6.4..8...51..7.6...7...9...1..7..8.......4.......26..4...6....69....2..7.89...4,796345182485129736213768495621437958957682341834951267348216579169574823572893614,
8.9.73.4..........243.....57.6.5.2.......25.....839......48.7...87....3.9........,859273146671945328243618975796154283318762594425839617532481769187596432964327851,
3.8..2..1......8...1....6...6....41.2.3...9.8...9.....1.........4.7.8.69..7.91.4.,378462591624519837915873624769385412253146978481927356196254783542738169837691245,
.849.6..12.3.......6.5...........5.3..2.85.94..6......6.9.3..8........62..8...31.,584976231273148956961523847897461523132785694456392178619237485345819762728654319,
62.........71.....4...3..26..3...86..8..1...4........75....87.18.6.7...5..134...2,628459173397162458415837926153724869789516234264983517532698741846271395971345682,
.785...9..4..2.6..5....72.....3...8..5.87.9.......4......786.4.98..4..65.....5...,278561394143928657596437218712359486654872931839614572325786149981243765467195823,
4.....91...59....66...3.5.72...9.7...3..2...5..95...24...15................4...71,423675918175948236698231547251894763834726195769513824347152689916387452582469371,
............6..8.1...9..672.....3....31...9....98.72..8.......5....3..687...6..1.,167382594925674831384951672278593146531426987649817253816749325492135768753268419,
368.2..9...9.......2.......2..3.4..5.4.2..8......9...6....4.....84.5.6.359.73....,368425791759813462421679358276384915945261837813597246637148529184952673592736184,
..7..34...3....6.2...6..9.56..2.1.....93.......4.7....1...52....46.9....7.2.....1,967523418835914672421687935683241759279365184514879263198752346346198527752436891,
......15..9..7..6....1....27.5..42..4.1.....6.63...7....7..1......79.4......36..1,834629157192578364576143982785964213421387596963215748347851629618792435259436871,
..18...2......3...53.17....3.9..8..2.........8..9..56..8.3.67..27..........79..5.,491865327768243195532179846359618472126457983847932561985326714274581639613794258,
85..............5...3..6...3.6..9.1....3....4.9465.8..63.....8..897..63.4........,851937246962148357743526198376489512528371964194652873637295481289714635415863729,
...4......8.91.5..9.37.8.....6......5..1..8...14.63.9..5..9..4.69.8.5.....1......,165432789287916534943758126376289415529174863814563297758391642692845371431627958,
.5.9.1.....2.4....89.36.4....3....1..........62..9.8..1......35......9..3.9....4.,456971382732548196891362457573824619918637524624195873167489235245713968389256741,
....3..9..1.8....3.....5...2....6....9..1.7.6.365.7...52.7.........53.8...76.8...,752134698614879523983265471271946835895312746436587912528791364169453287347628159,
..92....5......9..32......8.........8...75.9.4..3....2..841..5......31..7.48.9...,649287315185634927327591648573942861862175493491368572238416759956723184714859236,
..1.......9....3.6.6.....746.4.1........9...57....4.18..8..6..3.7.......9..34.68.,531467892497182356862953174684215739213798465759634218148576923376829541925341687,
.......9....8..1....1...8.3.49......5.83.....1.248..7..2.1..3..8....72...9.5...4.,483251697267893154951674823649712538578369412132485976725146389814937265396528741,
.87.3....1..9.......9.87..4...7.9.28......1..7..32..4..2.1....9..4.58......2.4...,587431692143962785269587314436719528952846137718325946825173469394658271671294853,
.3....2.5..28.9...14...23.87.3.......8.5.....2.51..8..871.....9...2..........71.3,938714265652839471147652398713428956486593712295176834871345629369281547524967183,
.....1.....786......3...7.....9..8.3.....75..1..5.496.4...7639...1..5.78.9......4,864751239927863415513249786675912843349687521182534967458176392231495678796328154,
.4.....1...7...9...3.7.28.4....5..23..319.7........1.5.1..........8..4.17.....25.,248963517167584932935712864891457623523196748674238195412675389356829471789341256,
3..5....16..1.7.....7..9..4......3.7..5...64.9..3.....5...9..3....2.14..7.....1.5,389524761654187923217639854426815397135972648978346512541798236863251479792463185,
74.3..9.5........23.2.....7..6..3.2..7...94...9.14.7.3.....6......95......5.7....,741362985569817342382594617456783129173629458298145763817236594634958271925471836,
.......3.6..5.7..........9625.1.4.........2..9.76..1...6..35..249.2...75..27.9...,125896734639547821874312596258174369316958247947623158761435982493281675582769413,
4....1382...82..4...............8.9...349.....8..73....76......9.1.4...8....127.6,495761382637829541812534967764258193123496875589173624276385419951647238348912756,
1.2.........3.8....7.612.8.75....83.......7..968...5.....2.....5..936....93.7....,182497653649358127375612984754169832231584796968723541816245379527936418493871265,
.6..2.9..3.26..8.......5.6..3...8.9..7..9..86....3...7.......4......2...78...6.39,468127953352649871917385462231768594574291386896534127129873645643952718785416239,
17..8529.........8.....976....5..38..6..1..57....37..2.....15.9.2...6.3...785....,174685293659372418238149765792564381463218957815937642386421579521796834947853126,
...49...7..32.5..6.....3.9...1.......62.....4....7...35....16.9.4..6..72.36....4.,215496837973285416684713295391654728762839154458172963527341689149568372836927541,
4.9..6.2.1......9..67.8.5......4.....1...7..9.7.819..4....6.....9.2.1....8......7,459176823128453796367982541932645178814327659675819234543768912796231485281594367,
.34....2.9.....4.....5..96.2....731...7......34....7........6.1.927.....5.1..3.4.,734698125965172438128534967259487316817326594346915782483259671692741853571863249,
......5..1..3...4..82..4.93....5....8.4..3.1...98.1....9..6.......1......68.95..4,943786521175329846682514793716952438854673219239841657591467382427138965368295174,
8....6..3.4..83.7....57...6.7...4...4..32.....3875....3..4.2....9..6.3.2.......58,857246913649183275123579486572694831416328597938751624385412769791865342264937158,
.....1......8..7..9.857.3.23.9...14....1...837........2.1.....5.....4.91..3...8..,537241968162839754948576312389625147624197583715483629291768435876354291453912876,
75....2..43.....1..265..3..5......82.6......4....1.....4..21.38....6....28.4.3.7.,758134269439672815126589347513946782862357194974218653645721938397865421281493576,
.......58.4...8213..2......5..7.2..4.......7..1895......45...3...1...7.2....3..9.,673219458945678213182345967539762184426183579718954326894527631351896742267431895,
1..4........82......2.37.19.....2...7..945.32...31....2.9...7.8..4....2...7..9.5.,158496273973821546642537819391672485786945132425318697239154768564783921817269354,
...68..7....3.9.......74....8.1.2.........6.224.76...3817...9...2..9...64..2.....,952681374764329851138574269683152497571943682249768513817436925325897146496215738,
.1..3..945........7.9.6.1..1.............6....654....99...437.5...2........5.74.2,816735294543129678729864153194382567278956341365471829982643715457218936631597482,
......9.1.81......65........1..83...3.....7.45..4.918.4..9....8.6......7..7..4.3.,742638951981245376653197842214783695398516724576429183435971268869352417127864539,
..786...5...9.2........76....5..97.2.1.5.3...7..6............3..2...596.1....6.28,397861245461952873582437619635149782218573496749628351956284137823715964174396528,
6..38....8..9.42.............6..5....82...61.9.38.1.5..1.4.....4....25.....6.3.8.,624387195835914267791526348176245839582739614943861752317458926468192573259673481,
....8.9...689....12..1..........2....76....9.3.257.1.89.5.187.2.........83.2.....,713485926468927351259163874184392567576841293392576148945618732621739485837254619,
..4....1..8.71.6..9......4.7..3......45.7.....1.6.5......4....819..8..5......9..1,674953812582714639931826547769342185245178396813695274357461928196287453428539761,
.....87....96..8..3....16.2...4.2.63.1..6..7......7...2........1...93...7..81.4..,621358794579624831384971652957482163413569278862137945298745316146293587735816429,
.1.45......4.1.7.....7.98....23..5......8...9.....54.3.....4.8..5...734.8..5.....,617458932984213756523769814792341568435682179168975423379124685256897341841536297,
....475.3...9....6.......1...7...3..6....9.5....26.1....5.....29.267..4..41....9.,196847523528931476374526918217458369683719254459263187865194732932675841741382695,
7.6.31......8.67..13.2.7..6......84..93......6.....5.73.4...2.5.........2..71..6.,756931428429856731138247956572169843893475612641382597314698275967523184285714369,
.2..3.....8...7.5.....8..76.....1..8.725.4.6..3..28..................21731.7...84,726435891983167452451289376694371528872594163135628749247816935568943217319752684,
.....25...........3...4.9.1..35....47......954.8.3..7.1.4....8....9.71..92.......,649712538512398467387645921293576814761824395458139276174253689835967142926481753,
.21...6..........45.6....1..95.3.......8...6.8.....4354..1.6.8....9...51..3..2...,321458697987361524546729813695234178734815269812697435459176382268943751173582946,
6....5.72...1....59...27.3.7.2...............35.674.1.4..5..3...1.....5..9..16...,631985472274163985985427136742851693168239547359674218427598361816342759593716824,
.51...........4....7.....2....9....43.8..1.9..24........3.1.7.....7.52..5..24.8.1,451327968832694175679158423715962384368471592924583617243819756186735249597246831,
..13.76...9..26.1.6.......2........7.....9.....61....881.9.43...437...9....8.3..1,251387649498526713637491582124638957385279164976145238812964375543712896769853421,
.4....5......5..29...8234.7...9..1..81.4...35........4..75.98.2..9..........37...,243796518678154329951823467432985176816472935795361284367519842129648753584237691,
.....517.79......66...3...8.....27.....6..819......5..97.8..6...8.......3...57...,238965174791428356654731298419582763527643819863179542972814635185396427346257981,
...53......7.......59182.....29.5.7............87..6.92.68.97.3....5.9.........26,461537892827694531359182467612945378794368215538721649246819753173256984985473126,
.4.....5...7.1......9..7..6..3...2..5...7..49.6.5.21..2....947..3...1.6...5..4...,342968751687215394159437826793146285521873649468592137216359478934781562875624913,
94.28...7........3......4...23..19.......7..48.....25....3...9..7..1...55..7..132,945283617781694523632175489423561978159827364867439251214358796376912845598746132,
7.1.2.....395......5...8...5..6......7....9..1...8..2....1.6....2...351.6..9..87.,761429358839561742254738691542697183378214965196385427485176239927843516613952874,
4..2.39.7..758..4................5......9.6..5.28...7.73...28..2.5....36..8...2.4,451263987697581342823479165986724513374195628512836479739642851245918736168357294,
..95.624.....3..59....218...6...54..3.86.....2....8.9......9.34..........92...18.,839576241721834659654921873967315428348692715215748396176289534483157962592463187,
......3.6..6..9.7.5..6.2....4.2.89..7...9..4..3.5.7..8......8249...8.7.......5..3,492871356386459271571632489645218937718396542239547618157963824923184765864725193,
..1..3.4....68.9.....754...4.5...1....3..9..4...1..8..5.8.6.4.9....1..6....9..5..,851293746347681952296754381465832197183579624972146835528367419739415268614928573,
.....4....6.17..5..95...1.....4...1.1.......3...2..9.49.1...6...26...4...47....25,813954762462178359795326148279483516154769283638215974981542637526837491347691825,
......9.1....678....3..4.6.8....2.....6741...........7..42.3.1.1...7..32.2.9.....,645328971912567843783194265879632154256741398431859627564283719198476532327915486,
85............6..1.....1.89..36....25.......7.98.....3...2....6..2.6.31.97.1..2..,851379624249586731367421589713654892524893167698712453135248976482967315976135248,
2..457.68..89.....4.5.8.19.5..62..7.96......4.12.........5...1......4......7....2,291457368678931425435286197584623971963175284712849536846592713127364859359718642,
......7.179.5....8.........2...78..641..........2.9.1..62..4..957..6........1..8.,324896751796531248851427963235178496419653827687249315162384579578962134943715682,
..4..8..2...6.........7..596...........9.....279..65.8.5....87.74.1..9...6..9..2.,194538762537629481826471359615847293483952617279316548951263874742185936368794125,
....964....32...9....4....7...8...4.......8....9.3...6.6..83....95......4.26..5.3,517396482643278195928451367136825749254967831879134256761583924395742618482619573,
..1...4...29...76.3..916..55..7.........92...1....4.....45..6.2....7...4...6.1...,651827439829435761347916285592768143463192578178354926734589612916273854285641397,
......47....847......2....3..1.23........926....4.....29..6.78..6...2.9.3...8...1,829135476536847912417296853981623547743519268652478139294361785168752394375984621,
..1..6.4...9.4.7..84......6..237....76...9.......24....1.7..9..3..8...6.....9..3.,271986345639145728845237196952378614764519283183624579418763952397852461526491837,
....97.1..1....2.39.2.3..84....8....8..1..4..3.974.12..........5.7...3..1.89.....,483297615716458293952631784241386957875129436369745128624513879597862341138974562,
6...81...1..3..2....5.....9.582..7.........3.3.6197...9..853......61...8.....9...,642981573197365284835472169458236791719548632326197845961853427273614958584729316,
.......6....2.634.....817.....4..81.8.....4.........2991.7.42....6.1....7.483.1..,238547961157296348469381752692453817871629435543178629915764283386912574724835196,
.9.1.7.2...72.53.6.5..6....2.......7........9......4...254..9..93..7.2611....3...,496137528817245396352869174281394657643752819579681432725416983934578261168923745,
.7..9.........8...3.....4.....5.....9...24..752...1........9.7.49..3..1..1..573.2,174693285659248731382715469741586923968324157523971648235169874497832516816457392,
9..6...3.6.1.4259..2.5.......7..1.....3.5.4.1.6.9..25.37......4.........4.....9..,945618732631742598728539146257461389893257461164983257376195824519824673482376915,
3.....4...9..7..1.6...2...7.3.9.6.......4........132...7.16..955..7......4..9....,327651489495378612618429357732986541851247936964513278273164895589732164146895723,
...64.......392..4.....1......42...54......3..29583....53.6...9.8..3..16..28.....,397648521518392674246751398831427965475916832629583147753164289984235716162879453,
.....6...5..2...3.4....5......9287..9......2..8.6.7.....9....82..7...4.56.38..97.,731486259598271634462395817315928746976543128284617593159764382827139465643852971,
.76.92....8...73..3...1........7.6.8..5........89.....6..5...1..5......3..1.8..97,576392184184657329392814756923175648765248931418963275647539812859721463231486597,
.....93...8.32.....1..48..26.....23..49.1....32.8...9..........7......19.3..6.7..,267159384984327156513648972671594238849213567325876491192785643756432819438961725,
4......9....5.61.45..9....6..4.....7.1....589..7..8....6..97..8..........7..8.2.1,426813795798526134531974826284659317613742589957138642162397458845261973379485261,
.3.5....27...16.438.2.3.7...56...2.43......5....3.51.61.............8....74......,431587692795216843862934715956871234317462958248395176183659427529748361674123589,
..6....1..28............5.751.9..8..8.92.67.......4.91.6..4..7.....9...6..5.....4,756329418128475639943681527514937862839216745672854391261548973487193256395762184,
..3..1.2....3............45.2.6.....4....5......9.8..6....3...25.4..2.6.8...19.5.,743851629259364178681297345128673594496125837375948216917536482534782961862419753,
......87...4.5.......6.2.1.9.5.......4..8.6..8.12.9..7...76..2.....4...1...9.84..,629314875314857296587692314935476182742185639861239547453761928298543761176928453,
26...5.....5...9....9.46..7......6..31.....4...4...5.1......734.5..14........7.9.,263795418745138962189246357592481673316572849874963521621859734957314286438627195,
7...9...4..1..8....397.65...7.5.39.......1...15...4.3.4.......9..8....5...5...7..,762195384541238697839746521274583916983621475156974238417352869398467152625819743,
1...5.9..93.6..14..8......3.....6......58.3.....4...78.157..6.94...9..1....8.....,164253987932678145587149263758936421241587396693412578815724639476395812329861754,
.64...7....1...6.99..84..2....5......1.....9..974.21.....2...........27.12..5.9.8,364921785281375649975846321432519867518637492697482153743298516859163274126754938,
....5..42..9.4...8.2.1..65.....8....476.....5.9.6...1....9.1....58........1.6....,183756942569342178724198653312584769476219835895673214247931586658427391931865427,
3.6.1...9..1.87....9..36..77.....16.9.......8..2...4..8.....6.1..4..2.........32.,376215849451987236298436517785394162943621758162758493829543671634172985517869324,
..8.2....1..87....5......4..35.6..8..2..1.....1..3.62..53.....7.....6..8...2.3..1,398624715164875392572391846735462189426918573819537624253189467941756238687243951,
..89...13...23.9...5..1.4.29.6...2..81..5..9...5.....44.........6142......3.6....,628945713174236958359817462946178235812354697735692184497581326561423879283769541,
.....1...4..78..6..3...........195...8..73.9.6.18.........3....3.5...4.6......75.,957361824412785369836942175273619548584273691691854237748536912325197486169428753,
..3.6.........4..289...1....1.3...6..86.49.3..7.8........4......6....8..7.9.2..4.,143265789657984312892731654915372468286149537374856291528413976461597823739628145,
.5...1...2.1.8.....7.....8....24.......9.....9...1342.3....9..2.4...591...84...7.,854791263231684759679352184513247698427968531986513427365179842742835916198426375,
6..7..82.5.1....7.........4....9......5.8.4.2..8...1.6.275....8....19...9..2..61.,639754821541628379872931564264195783715386492398472156127563948456819237983247615,
..4..958.8....4.71....156.2.41..6...685.9.....7........2..4......9.7.....1...8...,164729583852364971397815642241536897685197324973482165528943716439671258716258439,
..5...9......475.....5....21....2........97.6..9.7523.....91......6....3.72......,815236947236947581794518362187362459523489716469175238348791625951624873672853194,
9.65.......2..6..8..31.9.2...428.1.........69......8.....63...5......3....58..94.,976528431142376598853149627694287153387451269521963874219634785468795312735812946,
..3..7.9....3...1.7..........51.4.37....83..5.2..........2...5..49....815..8..3.4,253617498496358712781492563965124837174983625328576149837241956649735281512869374,
.......6.....4.7...5.9.1..24.925....8..17....56.4......9......4.4....69.67....5.1,984725163126843759753961482419258376832176945567439218295617834341582697678394521,
.....3.7.97.48......3....483.7..9..11..5......5......4..6.3.91...............1.53,485123679972486135613957248327649581164578392859312764246835917531794826798261453,
3..8........34..19..86.54......1...6.....6758...7..19...5...6..8..4..9....3..8..7,349871562756342819218695473987514326134926758562783194475239681821467935693158247,
